,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Delftia,,,,0.5826129884262365,1.3647318485464206,0.6097453349484692,2.543398321005319,2.42786841913252
Denitrobacterium,,,4.947150215432043,,,,,
Dermacoccus,5.390107717099754,,,,,,,
Desulfatiferula,,,,,,0.9420873149510847,3.2777951779081005,
Desulfitobacterium,2.638425634766352,,,1.9083529633017817,,0.6434420279432826,,
Desulfonatronum,1.7136269711956287,5.054175744546311,3.298780271337505,2.781370997278984,3.290463866984127,2.269761358928556,0.5374570323155115,2.6073591511299745
Desulfosporosinus,5.019608903333269,5.5,5.5,5.319540020776451,2.8435026833006316,4.228438156102401,5.5,4.307185731245001
Desulfotomaculum,4.359807941016537,3.737627490238105,2.988412362471633,1.5425906670279388,5.5,0.9212591087034165,2.0613389087783665,5.5
Desulfovibrio,2.8996170032813686,4.044339270593535,3.9596963902481943,5.5,0.5,5.5,5.5,4.3921168815156975
Dialister,,3.978990446045254,2.1836986386584427,4.699962609617393,0.8753858866823738,,,3.7144326700242765
Dietzia,,,,,,,,0.5313641243704526
Dorea,0.6249857772639329,1.1126749376731886,1.1152637828470489,4.932402686651673,5.5,0.5,0.5,2.135511682557702
Dyella,4.467983531079376,,,,,,,
Dysgonomonas,1.2409956178795862,2.7746892493104287,3.3001810988112643,4.088377586220544,3.6633646256035504,,1.4814055182160533,2.5503227506345376
Eggerthella,4.441343416524593,5.477631253156154,2.353237760027542,0.5744820235781067,4.658573345596439,5.5,5.5,5.5
Emticicia,,,,,,,,5.419644355537392
Enterococcus,5.345920352460879,1.1579079697369172,5.45590338843078,0.7093318874478514,4.102572338433552,2.175554635193972,4.461865240640974,4.513445255185079
Enterorhabdus,2.8957093988958946,5.5,3.8994119308614192,1.7882000489759557,3.3340838838244315,5.5,3.557616226548851,5.3056818870198255
Erysipelothrix,3.5732586128136923,1.2949875740433587,5.417327143365078,3.115890185095717,0.6884355001184481,4.108494149949773,2.501424734407132,0.8564242080571529
Escherichia,2.6282980195718473,1.6859421729724842,1.4946724364117983,1.4966522149592594,0.8666971606584459,3.9717454970459283,0.5544076493615018,0.6296545404849345
Ethanoligenens,1.677675912117767,1.931336019756958,4.045423222959203,0.5421204819408776,1.365615387485772,2.9343495976931346,3.595776118992246,4.2669945272810015
Eubacterium,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Exiguobacterium,4.33696197037775,5.0058660272933855,4.077976858017898,3.78660096806047,1.8077624539523907,,3.610929645869527,3.7574823108839985
Faecalibacterium,1.7163576883281229,2.6892721528367574,1.3370140931250085,3.7204000410799036,5.5,2.860087960905653,4.381488714631452,4.928266819372998
Ferrovum,,,,,3.4912281294251426,,,
Fibrobacter,,,4.685547395860427,,,,,
Filifactor,2.095225232211644,,,,,,,
Flavisolibacter,,,,,3.811202096714198,,,
Flavobacterium,3.9615472518069166,4.6251310294280294,2.572530585992272,0.5935538638207376,3.8045171922907595,4.930950484538536,1.4819652611377236,4.346698717196772
Flavonifractor,2.950175339676777,0.9909484637385919,4.1222810563721515,2.968527495492956,3.277240673472935,0.9144932127608362,4.122667153359273,5.5
Flectobacillus,,,3.7407168932327606,,,,,
Flexibacter,3.7688560925936545,2.1633739408393518,5.247277380572375,2.4455777957782465,3.0037789057679585,2.4301317830136338,3.6265582376203787,5.0115684450007665
Flexithrix,4.907027110327737,3.1713041773516255,0.9726694706268182,4.487253942951611,0.5774452444023082,3.0370143981682345,3.5241896273003177,4.699717375252205
Frigoribacterium,2.497939050385243,3.6206852957876814,2.4417936099918465,,,,,4.3857977785735
Frondihabitans,,,,,,,,2.74444926352702
Fulvivirga,2.139909769725003,,,2.8052022227566304,,,3.8971924835826286,
Fusobacterium,2.1216953674177317,4.378127812229245,,2.658617036442551,1.256045901740541,,2.797619313984679,
Gemella,2.8557020015665673,2.72741504787058,5.186002059979357,1.101687271977944,2.5227362366204495,0.5086010010235329,3.757262133914997,4.591000915470255
Geobacillus,,,,,,,3.6014943714842746,
Geodermatophilus,,,,,,2.7132506044565634,,
Glycine,5.017935633359419,,0.6033234918357757,,4.641961988970584,4.932850093061317,4.356819812409356,0.6271143327856188
Gordonibacter,0.6486108521648459,2.3363546495949556,5.5,5.5,5.5,5.5,5.5,5.5
Granulicatella,,2.8784556900080034,0.8439177454079383,,,,,0.631310206517619
Haemophilus,,,0.8957445412823706,,1.5061446682225352,4.998663106562506,4.492450420856979,0.8652668213790595
Hafnia,,,,,,,,5.281603906498532
Halobacillus,4.062111524660654,2.0203940824175985,,,2.7857439126951555,,,
Halomonas,,,1.0910511044831628,,,0.8596919231548767,,3.0106231100886474
Helicobacter,,,,,4.123454074203371,,,
Herbaspirillum,1.929209509591738,0.9530330172489263,1.7747012013048609,2.0550998744431386,3.84636904973946,0.5264374492923212,4.968970192193235,0.6399157006365122
Herbiconiux,4.087687197966053,,,5.02791225304532,5.287112014557788,,5.003739979315513,
Hoeflea,0.8598977565453065,1.1720807251854164,0.5594421830725804,0.8581411379128601,5.034060911164917,0.7001935379203261,3.134942992131691,2.6062186222301964
Holdemania,,,,,2.4071406738933527,3.7521500654630744,,
Howardella,3.2883898433330105,,,,,,,4.005849173073808
Hydrogenoanaerobacterium,5.5,3.4427096821082097,5.250479168165455,1.9852698909433237,2.235323090721038,4.865696175037152,4.156109143076919,3.5341463948843375
Hydrogenophaga,,3.199506377937308,,,,,,
Hymenobacter,,,,,,0.7843156098308972,,
Hyphomicrobium,,,,,,0.824196451191558,,
Idiomarina,,,2.2948435442581343,,2.5739129993750707,,,
Ilumomonas,,,1.5306485238108753,,,,,
Intestinimonas,3.2185280512988403,5.5,1.2676050494961846,3.042406382357139,0.5166579992424429,1.6205359252771,3.077461868278932,2.7446429059777264
Intrasporangium,5.025138638652938,,3.1602144097823825,,,5.069204219478649,4.7769344475048765,
Janibacter,,,,3.951643937397645,,,,
Janthinobacterium,,,3.120344352713134,,,0.6509511771968266,1.8104226290258225,0.7370294154406816
Jeotgalicoccus,,,,,,,,0.8359145606039116
Kingella,3.5373289369913037,,,,,,,
Klebsiella,,,4.467243685224557,2.171646014571709,,1.2822851911835793,2.163766466789461,1.098566585163366
Kocuria,,,,,,,4.24901466030499,3.476563945509815
Kouleothrix,,0.8536304748896608,,,,,,
Kurthia,,,,4.530922266520319,,,,
Labedella,,,,,3.7584664925249225,,,
Lachnobacterium,2.4933993231044256,3.170041092514295,5.223683026173305,1.3141046482609007,4.855760604538265,4.237373748059851,1.951605117594923,4.697679501943465
Lachnospira,1.9978230219034931,3.483329314119997,0.575837838847316,2.515948386915893,5.016606094302676,4.563148216208105,4.18277337735945,3.1831664772157726
Lacibacter,,,0.7515579825284249,,,,,
Lactobacillus,0.5,0.9204449152466629,3.4768967952608487,0.5952821418330694,0.5852378850003219,0.5,0.6828402890352471,0.5
Lactococcus,5.300864886411689,3.6421099071300786,0.6113301492603357,3.009837397133347,5.5,2.5297874779981973,4.049692028167342,4.348223522231864
Lactonifactor,0.6296769057677958,,2.6089997921143135,,,,,
Lautropia,,,,,,,4.111136260409335,1.3100468529537757
Legionella,,,,,,2.4307568531376305,0.5928407373179989,0.550509731791343
Leifsonia,4.365309297262323,5.073243272307089,3.3212417302795565,2.2090554167102128,4.502769767699738,3.9456383865076505,5.353173537837819,3.401053971254161
Leptolinea,2.556362503704344,,,,,,,
Leptothrix,,,,,,,,0.918101274316701
Leptotrichia,,,4.001110210667819,,,2.551308986829956,2.7749574280370495,
Leucobacter,,,,1.783269084567197,,,,
Leuconostoc,2.912858825446576,,,,,,,
Limibacter,2.2873432535686544,5.4955599469644625,5.5,1.5150110165472062,2.703946360413478,5.5,5.027367830986318,4.866030130680194
Listeria,,1.7068975570395306,5.141834255208029,2.7228642454581227,1.37578043190125,,,5.437157397238194
Luteimicrobium,,,0.5780785959271837,,,,,
Lutispora,,,3.674358556807383,,,,,5.374769720605443
Lysobacter,,5.178759295901413,4.458355212135844,,,0.9302465393662587,,0.6463483052161925
Macrococcus,5.406428262295501,,,,,,,
Mahella,0.6558538563750482,4.929672161096262,0.6158786140632166,4.951762207966053,5.295405691957819,1.2027026397595024,4.309673196986628,1.8214192182358895
Mangrovimonas,4.12602282509696,3.600613603873952,4.154319220376223,4.73535848953744,3.3056042342968563,3.475590750993503,3.484776114887608,1.6986509594125396
Maribacter,4.271945959247301,5.051657475491664,2.179645924546007,4.095572826325026,2.6805560483950113,3.6653495068469204,2.8621939580096596,4.58152601286367
Marinifilum,0.8900209003558963,1.6759791868328167,3.9511840927099136,3.280213144172245,1.2182435482547618,3.2895156202475864,3.5281280343327883,2.784316761655977
Marinilabilia,,,,4.392026693673857,,,,
Marinilactibacillus,4.608774290775984,,1.6816148462154514,0.7144580529368589,,1.46298687304446,5.5,2.585506883605017
Mariniradius,,,,3.48655112281922,,,,
Marinomonas,0.6059044169517356,,2.462627166337607,1.2516085068788823,,2.3181945817628336,4.768185575776172,4.733784015390812
Marivirga,,,5.034368589710552,,,,,
Marmoricola,,,,,5.399066539745162,,,
Marvinbryantia,4.509733744307361,5.5,0.643549919046289,1.13071947621269,3.1631545829941254,5.5,0.8076800309122425,2.4907553981384547
Massilia,,,,,,5.078258535208163,,
Megamonas,2.176737573576906,5.295267024410676,1.3047761823007638,5.069737906388163,1.3271828798283645,3.203099850983512,1.9042393157704225,
Megasphaera,,3.789553548473357,0.7868936319171125,,5.009706725902983,2.5684252545414297,,
Meniscus,1.159643837287334,,4.664273288862544,1.190163906090024,3.6913274758477925,,2.5153361428951126,4.223767062747849
Mesoflavibacter,,,4.646974044704823,,,,,
Methylibium,,,3.0294965627673363,,,,,
Methylobacterium,,,,,,1.4890961471510453,2.601288743602648,2.663638806203574
Methylophaga,5.301984684290785,2.6957736890315753,0.7648020678533194,2.7332312755050414,4.773234486271362,1.4466751154232655,1.3388558741499963,3.1671105649049514
Methylophilus,,,3.724358108824535,,,,,
Methylosinus,,,,,,4.928123900816514,,
Microbacterium,2.394902349115921,,4.09334747769959,,1.031276672472269,,1.8410077936809566,
Micrococcus,3.5908389197085206,,,3.5008666121173833,,2.180118582608266,,2.4953833899073015
Mitsuaria,,,2.300766209156571,,,,,
Mogibacterium,2.5669903009092976,,1.10006970596528,3.9453457153315226,4.4326286843163825,3.4831057280621778,4.552094686445127,3.2702607493623055
Moorella,1.5694187978662186,0.910469812384032,2.856350542758631,1.6538560703446732,5.224732358047844,,4.503090832711297,5.240650879225142
Moraxella,,,1.2953907979257684,,,,3.369977944044781,3.5103508008820037
Mucispirillum,5.5,4.640529148070262,5.5,1.4778273514724987,0.5230857413973498,4.745119935547229,3.7126432577832587,0.640495537363006
Mycobacterium,,,,3.2754721282624795,,,,
Natronincola,4.526018304379954,,,,,,,
Nautilia,4.360565426943329,2.02749443462942,4.201960206906493,5.014328663124266,3.8916986446183994,4.609091102160259,3.641094056814949,4.028676372911475
Neisseria,,3.9326448456692464,4.281779963641359,,2.284465242180022,3.1308593282946378,3.3882349370072955,0.7899497109375662
Nevskia,,,4.610173996427825,,,,,
Nitrosomonas,,,,,5.4109564916649555,,,
Nocardioides,,,0.6243878929434299,,,3.2814080111257975,,
Nocardiopsis,,,5.208988295229713,,,,,
Nostoc,,,,,,1.4560137286334258,,
Nubsella,5.5,2.905233921910625,5.5,5.5,5.5,5.043984992370228,4.072159745279035,5.5
OP10,,,,,,4.101268792620608,,
Oceanobacillus,,,0.6241310305474554,,,2.4416791043853507,0.9381941486694494,4.5854765356326235
Octadecabacter,,,,,0.9680784891878478,,,
Odoribacter,0.8722599353662703,5.302391425661197,2.816017006462556,2.826755424670265,1.8605432930229822,1.0924819959723207,0.5,4.039149923596879
Ohtaekwangia,,,3.3177035928824967,,,,,
Okibacterium,,4.516881616746183,,,,,,
Olivibacter,4.515307634347902,4.746670442848836,4.037645532132674,4.215918428390064,4.02713403053192,4.563995311009123,4.599820170194641,2.983719316411195
Olsenella,4.913760518972052,4.919473844150303,3.9183731968868436,1.7099063575006381,3.6044772525267987,3.7562218474004307,3.5297928697165633,3.617774429230667
Opitutus,,,,,,0.8162171196112071,,
Oribacterium,2.985796494788221,2.719806707872,3.0069775571015365,0.6713738967417378,2.657538859716728,1.2013744390680192,3.1492575057289693,4.43644786318377
Ornithinibacillus,,,,,,,2.8277849624914952,
Oscillibacter,2.926432163351976,2.885867567387404,3.942340702704882,1.9216882019723063,5.383821256549391,3.1886076597295636,1.934008889815789,2.1771075433947287
Oscillospira,0.5231444480860894,0.6895483416127095,3.6853496872304032,3.915258611828361,4.302917721590391,0.5472516890372079,1.8992989007401828,5.5
Paenibacillus,3.0688383569150623,1.509260311848578,4.402592850037648,,5.5,3.6759927787753406,4.142473757046128,0.8496208088728228
Paludibacter,5.5,3.594396519755407,5.5,5.5,3.8737287291818547,1.1708835292058364,4.804318555617824,2.3384402858936237
Pantoea,,,3.6909204753266804,,,,,
Papillibacter,,2.3098255653491147,3.5832034271999693,,2.8451405473286813,,,
Parabacteroides,2.401640431843202,1.9182467598774895,5.5,4.941648307217821,3.772419406962641,3.3750841954905146,3.9373200136247033,3.4252513464951457
Paraeggerthella,4.631828826411938,5.5,2.1746233966310697,1.290870394671182,0.7306610028838587,4.103242660414988,3.5352619756906556,3.2254412829769095
Parapedobacter,,,,,2.10017467151426,,3.43848065493904,
Paraprevotella,4.0853160515688085,1.9680125363953214,2.6548663558771493,1.7109522395322705,3.007641811432094,2.5464702839799735,0.5,2.200318285472883
Parasporobacterium,3.7067835903102417,0.7535864302202597,0.7676121258079274,2.0178598588281265,1.384593224470613,0.6957063763862976,1.9408602468503005,1.7890220686133325
Parasutterella,5.5,5.5,5.5,5.5,5.5,2.326845415734414,5.5,5.5
Parvimonas,,,,,3.460918344920805,,,
Pedobacter,3.6289451819324103,1.1348816792282879,3.045034881795226,3.6115137252472147,4.473727434421143,2.3462296366821254,4.308159186152962,0.6619122308794854
Pedosphaera,,,4.91916470092524,,,,,
Pelobacter,,4.449287197839691,,,1.0363485690147243,,,
Pelomonas,1.2950347316789086,,3.1123199381377638,,,1.465643856493887,,
Pelospora,,,,,,1.4970372792561855,,
Peptococcus,2.5406618353120933,2.585489464689216,3.354801931064086,4.024278072984588,5.5,5.5,1.2654667048337678,4.131684157582799
Peptoniphilus,0.8976623485944604,4.523934705380893,5.0041473847522555,3.421458556644489,3.389762300177367,,3.054924679846649,3.649014532284539
Peptostreptococcus,,,0.833630135894396,,5.2644831955187295,,,
Phascolarctobacterium,1.953552287792324,0.6002047366125827,0.5475679466344148,2.2600276635506855,3.8561568498033094,0.6833880237019216,2.9775842194160056,
Phyllobacterium,4.808473693445571,,2.4090558727464884,1.9128503284647678,3.796798564302521,,,3.330251485675235
Pisum,1.9338589690497816,,,,,1.4621497348782937,,
Planococcus,,,,,,3.880810009335234,,
Plantibacter,,,,,,,4.657515390760156,
Pleomorphomonas,,,0.5690321438195545,,,,,
Pontibacter,3.9951793701068095,2.129110616981643,2.7095927198282452,2.570619918617432,2.1831296998254084,2.1729503672432635,3.091607666550793,1.7952881814428558
Porphyromonas,2.5614175593416304,3.511489980901923,3.0026547430998107,2.6406213915068095,3.1029752244240325,5.0961587594994695,5.5,4.166015011882991
Prevotella,2.6290031642314333,5.5,3.8211610927131057,5.5,5.13988979841282,1.7427285146203368,3.5757357402130165,2.452619669000447
Prolixibacter,3.544375744628107,,2.220583626727034,1.2329288546276786,2.3168994524055777,3.442019244870905,2.996474913026692,4.650758062780469
Propionibacterium,1.5177266272311218,4.181388725748765,3.853692948119287,1.866308637325512,1.5631806579554992,0.6539663330640773,3.5237631451927043,0.9094262752783533
Propioniciclava,,,0.6908119020936487,,,,,
Pseudoalteromonas,4.6990634492630985,3.073532447674641,1.5725711155405548,4.609780421462128,1.7171825994226495,,,
Pseudobutyrivibrio,1.6351522193592756,0.9734044753838269,1.170908906658425,3.7558893298655396,2.428766548700589,0.937927643402729,,
Pseudoflavonifractor,2.6486491871414852,0.5,5.5,5.177909307741176,5.5,5.5,5.4998538745598555,0.8920175695306342
Pseudomonas,3.4314112541414143,4.332506372828489,2.511608131540209,,3.708848948753042,1.1267527125381238,,1.7792780221889295
Quadrisphaera,,,,,,5.35790453348345,,
Quinella,,,5.410417042238373,,,,,
