Genus,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Phascolarctobacterium,,,,,,,,
Phyllobacterium,,,,,,,,
Pisum,,,,,,,,
Planococcus,,,,,,,,
Plantibacter,,,,,,,,
Pleomorphomonas,,,,,,,,
Pontibacter,,,,,,,,
Porphyromonas,,,,,,,2.512437189850507,
Prevotella,717.1657767803343,688.4528864552376,573.9454636341969,603.3515902582056,514.6389635837198,604.102115259537,609.1067820102613,550.3405746679973
Prolixibacter,,,,,,,,
Propionibacterium,,,,,,,,
Propioniciclava,,,,,,,,
Pseudoalteromonas,,,,,,,,
Pseudobutyrivibrio,,,,,,,,
Pseudoflavonifractor,10.735125368183972,7.701614583333333,13.486558600583093,15.18185260672483,20.99456487568375,17.48213271258539,12.549841458581055,16.774432824350964
Pseudomonas,,,,,,,,
Quadrisphaera,,,,,,,,
Quinella,,,,,,,,
Ralstonia,,,,,,,,
Rapidithrix,,,,,,,,
Reichenbachiella,,,,,,,,
Reyranella,,,,,,,,
Rhodanobacter,,,,,,,,
Rhodococcus,,,,,,,,
Rhodospirillum,,,,,,,,
Rhodothermus,,,,,,,,
Rickettsiella,,,,,,,,
Rikenella,117.36188524590163,77.04449759489098,51.280861111111115,114.9814789810064,33.83761649407265,36.88770397903546,53.363780700848835,52.11098659328884
Robinsoniella,,,,,,,,
Roseburia,109.05291059980662,28.42006671425034,54.99992093842657,74.7188149644406,83.4464481373265,77.06246784979423,45.46624290405692,56.92829660238752
Roseibium,,,,,,,,
Roseiflexus,,,,,,,,
Roseobacter,,,,,,,,
Rothia,,,,,,,,
Rubellimicrobium,,,,,,,,
Rubrobacter,,,,,,,,
Ruminococcus,36.08500736948422,22.15853629226084,21.490637119113572,37.01638200183655,42.691880909935584,62.4519525788089,24.596250701467273,26.31156700696808
Ruminofilibacter,,,,,,,,
Saccharofermentans,,,,,,,,
Saccharomonospora,,,,,,,,
Salinibacterium,,,,,,,,
Sanguibacter,,,,,,,,
Sarcina,,,,,,,,
Schlegelella,,,,,,,,
Schwartzia,,,,,,,,
Sediminibacterium,,,,,,,,
Sediminitomix,,,,,,,0.0,
Selenomonas,,,,,,,,
Sharpea,,,,,,,,
