,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
356,356,3.0,16.0,21.0,2.0,10.0,6.0,4.0,47.0,13.625,15.051696629568754
357,357,,,,,,,,,,
358,358,,,,,,,,,,
359,359,,,,,,,,,,
360,360,,,,,,,,,,
361,361,,,,,,,,,,
362,362,,,,,,,,,,
363,363,12.0,19.0,7.0,10.0,23.0,47.0,5.0,32.0,19.375,14.332156651589958
364,364,,,,,,,,,,
365,365,,,,,,,,,,
366,366,,,,,,,,,,
367,367,,,,,,,,,,
368,368,,,,,,,,,,
369,369,,,,,,,,,,
370,370,,,,,,,,,,
371,371,20.0,14.0,38.0,28.0,10.0,32.0,31.0,22.0,24.375,9.5608950567253
372,372,,,,,,,,,,
373,373,,,,,,,,,,
374,374,,,,,,,,,,
375,375,,,,,,,,,,
376,376,,,,,,,,,,
377,377,4.0,6.0,8.0,11.0,13.0,18.0,6.0,33.0,12.375,9.48589177975075
378,378,,,,,,,,,,
379,379,,,,,,,,,,
380,380,,,,,,,,,,
381,381,,,,,,,,,,
382,382,,,,,,,,,,
383,383,,,,,,,,,,
384,384,,,,,,,,,,
385,385,,,,,,,,,,
386,386,15.0,2.0,6.0,8.0,6.0,15.0,8.0,3.0,7.875,4.882549100038393
387,387,,,,,,,,,,
388,388,,,,,,,,,,
389,389,,,,,,,,,,
390,390,,,,,,,,,,
391,391,,,,,,,,,,
392,392,,,,,,,,,,
393,393,18.0,21.0,4.0,12.0,12.0,28.0,6.0,25.0,15.75,8.6972902183874
394,394,,,,,,,,,,
395,395,,,,,,,,,,
396,396,,,,,,,,,,
397,397,,,,,,,,,,
398,398,14.0,10.0,7.0,5.0,8.0,27.0,3.0,4.0,9.75,7.814821083775915
399,399,,,,,,,,,,
400,400,,,,,,,,,,
401,401,,,,,,,,,,
402,402,,,,,,,,,,
403,403,,,,,,,,,,
404,404,,,,,,,,,,
405,405,,,,,,,,,,
406,406,,,,,,,,,,
407,407,14.0,3.0,4.0,13.0,27.0,23.0,2.0,15.0,12.625,9.272655652893773
408,408,,,,,,,,,,
409,409,,,,,,,,,,
410,410,,,,,,,,,,
411,411,,,,,,,,,,
412,412,,,,,,,,,,
413,413,,,,,,,,,,
414,414,11.0,9.0,10.0,9.0,18.0,18.0,5.0,12.0,11.5,4.503966505838413
415,415,,,,,,,,,,
416,416,,,,,,,,,,
417,417,,,,,,,,,,
418,418,,,,,,,,,,
419,419,,,,,,,,,,
420,420,,,,,,,,,,
421,421,,,,,,,,,,
422,422,4.0,9.0,15.0,22.0,13.0,36.0,12.0,8.0,14.875,10.06319318819117
423,423,,,,,,,,,,
424,424,,,,,,,,,,
425,425,,,,,,,,,,
426,426,,,,,,,,,,
427,427,,,,,,,,,,
428,428,,,,,,,,,,
429,429,19.0,6.0,9.0,1.0,15.0,31.0,3.0,17.0,12.625,9.913014533574392
430,430,,,,,,,,,,
431,431,,,,,,,,,,
432,432,,,,,,,,,,
433,433,,,,,,,,,,
434,434,,,,,,,,,,
435,435,,,,,,,,,,
436,436,10.0,16.0,11.0,12.0,6.0,13.0,2.0,18.0,11.0,5.154748157905347
437,437,,,,,,,,,,
438,438,,,,,,,,,,
439,439,,,,,,,,,,
440,440,,,,,,,,,,
441,441,25.0,8.0,6.0,,13.0,22.0,12.0,19.0,15.0,7.164728420068226
442,442,,,,,,,,,,
443,443,,,,,,,,,,
444,444,,,,,,,,,,
445,445,,,,,,,,,,
446,446,,,,,,,,,,
447,447,,,,,,,,,,
448,448,,,,,,,,,,
449,449,,,,,,,,,,
450,450,15.0,5.0,19.0,,38.0,39.0,19.0,30.0,23.571428571428573,12.567910763224768
451,451,,,,,,,,,,
452,452,,,,,,,,,,
453,453,,,,,,,,,,
454,454,,,,,,,,,,
455,455,,,,,,,,,,
456,456,,,,,,,,,,
457,457,10.0,11.0,5.0,7.0,6.0,19.0,11.0,8.0,9.625,4.405759217854998
458,458,,,,,,,,,,
459,459,,,,,,,,,,
460,460,,,,,,,,,,
461,461,,,,,,,,,,
462,462,13.0,4.0,7.0,30.0,16.0,1.0,1.0,1.0,9.125,10.190156314516756
463,463,,,,,,,,,,
464,464,,,,,,,,,,
465,465,,,,,,,,,,
466,466,,,,,,,,,,
467,467,,,,,,,,,,
468,468,,,,,,,,,,
469,469,9.0,7.0,9.0,18.0,8.0,7.0,10.0,11.0,9.875,3.563204817496262
470,470,,,,,,,,,,
471,471,,,,,,,,,,
472,472,,,,,,,,,,
473,473,,,,,,,,,,
474,474,,,,,,,,,,
475,475,,,,,,,,,,
476,476,11.0,11.0,1.0,6.0,3.0,10.0,47.0,10.0,12.375,14.500615750472706
477,477,,,,,,,,,,
