,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
355,355,,,,,,,,,,
356,356,0.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,1.5,1.3093073414159542
357,357,,,,,,,,,,
358,358,,,,,,,,,,
359,359,,,,,,,,,,
360,360,,,,,,,,,,
361,361,,,,,,,,,,
362,362,,,,,,,,,,
363,363,2.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,1.625,1.0606601717798212
364,364,,,,,,,,,,
365,365,,,,,,,,,,
366,366,,,,,,,,,,
367,367,,,,,,,,,,
368,368,,,,,,,,,,
369,369,,,,,,,,,,
370,370,,,,,,,,,,
371,371,0.0,0.0,5.0,5.0,1.0,5.0,2.0,0.0,2.25,2.3754698783308417
372,372,,,,,,,,,,
373,373,,,,,,,,,,
374,374,,,,,,,,,,
375,375,,,,,,,,,,
376,376,,,,,,,,,,
377,377,1.0,0.0,1.0,1.0,8.0,1.0,0.0,6.0,2.25,3.011881234615431
378,378,,,,,,,,,,
379,379,,,,,,,,,,
380,380,,,,,,,,,,
381,381,,,,,,,,,,
382,382,,,,,,,,,,
383,383,,,,,,,,,,
384,384,,,,,,,,,,
385,385,,,,,,,,,,
386,386,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.75,1.164964745021435
387,387,,,,,,,,,,
388,388,,,,,,,,,,
389,389,,,,,,,,,,
390,390,,,,,,,,,,
391,391,,,,,,,,,,
392,392,,,,,,,,,,
393,393,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.375,2.326094212561969
394,394,,,,,,,,,,
395,395,,,,,,,,,,
396,396,,,,,,,,,,
397,397,,,,,,,,,,
398,398,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,1.125,0.9910312089651149
399,399,,,,,,,,,,
400,400,,,,,,,,,,
401,401,,,,,,,,,,
402,402,,,,,,,,,,
403,403,,,,,,,,,,
404,404,,,,,,,,,,
405,405,,,,,,,,,,
406,406,,,,,,,,,,
407,407,0.0,0.0,2.0,0.0,1.0,9.0,0.0,5.0,2.125,3.2705394924123103
408,408,,,,,,,,,,
409,409,,,,,,,,,,
410,410,,,,,,,,,,
411,411,,,,,,,,,,
412,412,,,,,,,,,,
413,413,,,,,,,,,,
414,414,1.0,4.0,0.0,4.0,0.0,2.0,1.0,5.0,2.125,1.9594095320493148
415,415,,,,,,,,,,
416,416,,,,,,,,,,
417,417,,,,,,,,,,
418,418,,,,,,,,,,
419,419,,,,,,,,,,
420,420,,,,,,,,,,
421,421,,,,,,,,,,
422,422,0.0,1.0,1.0,2.0,1.0,12.0,1.0,4.0,2.75,3.9188190640986296
423,423,,,,,,,,,,
424,424,,,,,,,,,,
425,425,,,,,,,,,,
426,426,,,,,,,,,,
427,427,,,,,,,,,,
428,428,,,,,,,,,,
429,429,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.7559289460184544
430,430,,,,,,,,,,
431,431,,,,,,,,,,
432,432,,,,,,,,,,
433,433,,,,,,,,,,
434,434,,,,,,,,,,
435,435,,,,,,,,,,
